date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-07-01,84,74,94,75,93,66,102,1985,1980,0,0.16,1.4
2014-07-03,84,73,94,75,93,66,100,1977,1980,0,0.16,1.29
2014-07-04,82,72,91,75,93,66,101,1910,2009,0.48,0.15,3.49
2014-07-11,83,72,94,75,93,64,103,1905,1980,0,0.13,3.08
2014-07-16,82,73,90,75,94,66,104,1895,1980,0,0.12,2.04
2014-07-18,81,75,87,75,94,67,102,1974,1980,0.04,0.11,2.85
2014-07-21,87,77,96,75,94,65,101,1989,2000,0,0.1,1.09
2014-07-24,84,73,94,75,94,68,101,1972,1954,0.01,0.1,2.09
2014-07-25,85,74,95,75,94,65,102,1894,1964,0,0.1,3.74
2014-07-27,87,77,97,75,95,66,101,1902,1995,0,0.1,5.22
2014-07-28,88,77,99,75,95,66,103,1891,1995,0,0.1,2.52
2014-07-29,83,74,92,75,95,64,101,1994,1907,0.03,0.1,4.7
2014-07-30,83,72,94,75,95,68,102,1994,1914,0,0.09,2.11
2014-08-08,87,77,97,75,95,68,104,1990,1962,0.1,0.1,1.66
2014-08-14,83,73,93,75,95,65,102,2004,2007,0.02,0.11,2.8
2014-08-16,89,80,98,75,95,63,102,2004,1925,0,0.12,3.95
2014-08-17,88,78,97,75,95,60,104,1992,1909,0,0.12,3.57
2014-08-24,86,74,98,75,94,54,105,1891,1980,0,0.14,2.48
2014-08-25,87,76,97,75,94,55,103,1891,1924,0,0.13,1.9
2014-08-28,83,76,90,74,94,63,107,1992,2011,0,0.14,3.88
2014-08-29,83,75,91,74,93,61,107,1992,2011,0.02,0.15,2.89
2014-09-06,85,75,95,73,92,56,99,1974,1909,0.16,0.14,2.9
2014-09-09,85,74,95,72,91,59,100,1988,1909,0,0.15,4.22
2014-09-10,87,78,95,72,91,59,99,1988,1993,0,0.16,1.82
2014-09-12,82,75,89,71,91,56,101,1907,1909,0.02,0.15,2.25
2014-09-17,82,75,89,70,89,55,100,2000,1995,0.25,0.13,1.85
2014-09-25,74,68,80,67,87,50,99,1994,2005,0,0.13,3.05
2014-09-26,77,68,86,67,87,49,99,2000,2005,0,0.13,2.86
2014-10-03,74,63,84,65,85,45,95,1975,1994,0.32,0.17,3.24
2014-10-04,68,59,77,64,85,43,95,1975,2002,0,0.17,3.6
2014-10-05,69,53,85,64,85,41,94,1975,2006,0,0.17,2.9
2014-10-06,75,65,84,64,85,44,94,1975,1928,0.69,0.17,4.42
2014-10-07,78,65,90,63,84,46,95,1889,1956,0,0.17,5.76
2014-10-10,83,75,91,63,84,43,95,1908,1962,0.03,0.17,3.5
2014-10-16,72,57,87,61,82,41,92,1893,1989,0,0.21,5.17
2014-10-18,75,63,86,60,82,39,96,1978,1895,0.5,0.21,4.04
2014-10-22,72,61,82,59,80,41,91,1898,2004,0,0.2,3.7
2014-10-24,68,54,82,59,80,39,92,1908,1931,0,0.19,2.13
2014-10-25,70,55,85,59,80,39,91,1980,1950,0,0.2,9.25
2014-10-27,72,58,86,58,79,36,94,1898,2010,0,0.18,2.72
2014-10-28,73,60,86,58,79,36,90,1898,1991,0,0.18,8.04
2014-11-03,67,53,80,56,77,30,87,1999,1992,0,0.15,3.09
2014-11-05,69,64,74,55,76,31,88,1991,1963,1.12,0.16,5.22
2014-11-06,62,58,66,55,76,36,88,1993,1963,0.17,0.15,1.67
2014-11-07,57,49,65,55,75,29,88,1993,2002,0,0.15,1.46
2014-11-10,63,45,80,54,74,30,88,1977,1988,0,0.15,2.85
2014-11-11,60,49,71,54,74,32,87,1977,1978,0.01,0.16,1.88
2014-11-12,51,43,58,53,74,32,85,1987,2003,0,0.15,4.68
2014-11-19,50,30,69,51,71,30,85,2014,1985,0,0.14,2.1
2014-11-20,61,46,76,51,71,27,84,1969,1977,0.04,0.13,1.85
2014-11-21,64,61,66,50,71,29,84,1937,1999,0.57,0.14,1.54
2014-11-24,56,45,66,49,70,26,84,1970,1910,0,0.13,3.35
2014-11-28,55,39,71,48,68,26,83,1976,1977,0,0.14,1.82
2014-12-08,57,46,67,46,66,25,83,1927,2007,0,0.13,1.95
2014-12-13,64,54,74,45,65,19,82,1989,1921,0,0.12,2.85
2014-12-16,57,48,66,44,64,19,82,1989,1971,0,0.12,3.05
2014-12-25,50,34,66,43,63,11,82,1983,1964,0,0.12,2.09
2014-12-26,61,51,71,43,63,18,78,1983,2005,0.04,0.11,2.06
2014-12-29,44,39,48,43,63,15,81,1894,1984,0,0.1,2.15
2015-01-05,43,31,54,43,62,22,80,1972,1998,0,0.11,1.39
2015-01-06,50,34,65,43,62,22,80,1972,1989,0,0.11,3.7
2015-01-09,39,37,40,43,63,19,80,1976,1974,0.06,0.1,2.49
2015-01-14,42,39,45,43,63,19,82,1982,1971,0,0.11,1.45
2015-01-16,47,33,61,43,63,22,81,1972,1936,0,0.11,2.6
2015-01-19,53,34,72,43,63,10,81,1940,2000,0,0.11,2
2015-01-20,61,45,76,43,63,20,81,1985,2012,0,0.11,1.83
2015-01-27,64,47,81,44,64,19,83,1897,1975,0,0.11,2.86
2015-01-29,62,49,75,44,64,22,82,1897,1975,0,0.11,1.93
2015-02-06,49,41,56,45,65,24,81,1989,1969,0,0.11,1.09
2015-02-08,66,54,77,45,65,10,82,1895,1932,0,0.11,1.84
2015-02-13,53,39,66,46,66,6,83,1899,1962,0,0.11,2.99
2015-02-16,53,37,68,47,66,13,82,1895,1927,0.15,0.12,2.05
2015-02-19,51,37,64,47,67,20,88,1900,1986,0,0.12,1.3
2015-02-26,43,31,55,49,69,26,86,1974,1986,0,0.12,1.51
2015-03-02,54,48,60,50,70,22,91,1980,1909,0.01,0.12,1.55
2015-03-07,48,35,60,51,71,28,90,1989,1911,0,0.12,1.58
2015-03-08,49,45,53,51,71,27,88,1971,1911,1.49,0.11,2.05
2015-03-09,58,50,66,51,71,27,88,1932,2000,1.96,0.11,1.96
2015-03-14,64,51,77,52,73,29,88,1993,2008,0,0.11,1.82
2015-03-15,64,55,73,52,73,32,89,1999,2008,0,0.11,2.06
2015-03-20,74,66,82,53,74,24,90,1923,1907,0.02,0.11,7.47
2015-03-26,62,54,69,55,75,30,94,1955,1928,0.09,0.12,2.23
2015-03-27,62,44,80,55,76,31,89,1955,1935,0,0.11,3
2015-03-29,70,57,82,55,76,35,90,1894,1974,0,0.1,1.75
2015-03-30,72,61,83,55,76,33,96,1987,1946,0,0.11,2.9
2015-04-01,74,69,79,56,77,39,89,1987,1936,0.01,0.1,2.26
2015-04-02,77,69,84,56,77,38,89,1996,1939,0,0.1,4.75
2015-04-03,77,71,82,56,77,31,87,1987,2006,0,0.1,3.09
2015-04-08,78,71,84,57,78,35,92,1971,1986,0,0.1,3.26
2015-04-09,78,70,86,58,78,36,92,1973,1963,0,0.1,2.68
2015-04-14,70,64,76,59,79,39,89,1980,1996,0.12,0.11,3.52
2015-04-16,74,65,82,59,80,38,92,1983,1987,1.66,0.11,4.7
2015-04-24,78,71,85,62,81,46,92,1995,1894,0,0.12,2.24
2015-04-26,76,67,85,62,82,46,91,1978,1988,0,0.12,3.52
2015-04-28,64,56,71,63,82,47,95,1978,1987,0,0.12,3.76
2015-04-29,65,52,78,63,82,46,92,2008,1987,0,0.13,2.86
2015-05-01,71,57,84,64,83,45,94,1908,1947,0,0.15,4.11
2015-05-04,73,61,84,65,84,42,94,2013,1890,0,0.16,1.72
2015-05-05,73,63,82,65,84,49,94,1970,1906,0.13,0.17,3.6
2015-05-06,78,73,83,65,84,49,94,2013,1906,0.41,0.17,5
2015-05-08,81,77,85,66,85,45,96,1892,1967,0,0.17,2.34
2015-05-12,74,69,79,67,85,50,92,1895,1967,0.56,0.16,5.27
2015-05-14,80,72,87,67,86,47,93,1971,1995,0.05,0.16,2.44
2015-05-17,78,71,85,68,87,52,95,1970,1894,0.98,0.17,4.2
2015-05-25,77,66,88,70,88,56,95,1979,1927,4.34,0.16,4.34
2015-05-26,76,66,85,70,89,57,98,1979,2011,0.77,0.17,2.91
2015-05-27,76,65,86,70,89,50,98,1901,1928,1.41,0.17,3.99
2015-05-28,80,70,90,70,89,54,98,1901,1906,0,0.17,2.83
2015-06-02,79,68,90,71,90,55,100,1892,2011,0,0.17,4.03
2015-06-05,82,72,92,72,90,56,105,1970,2011,0,0.18,5.33
2015-06-06,83,72,93,72,91,57,105,1970,2011,0,0.18,2.66
2015-06-08,83,72,93,72,91,60,99,1977,1980,0,0.19,8.13
2015-06-10,84,74,94,73,91,57,100,1955,1902,0,0.19,2.92
2015-06-12,83,74,92,73,91,55,101,1979,1978,0,0.22,3.05
2015-06-17,80,76,84,74,92,62,100,1989,1902,0.7,0.21,1.51
2015-06-21,86,78,93,74,92,59,100,1976,1998,0,0.21,2.04
2015-06-22,84,76,92,74,92,66,101,1912,1933,0,0.22,3.13
2015-06-24,84,74,93,74,92,61,104,1904,2009,0,0.21,4.47
2015-06-29,84,76,92,75,93,59,107,1974,2013,0,0.19,2.5
